RA,Dec,Vmag,Bmag,B-V
92.308831,24.474081,16.476,17.2491,0.7731
92.234792,24.472287,12.1513,12.5505,0.3992
92.479885,24.474713,17.4196,18.3848,0.9652
92.534974,24.474182,15.9662,16.7915,0.8253
92.534982,24.474181,15.9665,16.7915,0.825
92.390346,24.473678,11.3606,11.7471,0.3865
92.193893,24.472393,11.495,11.8122,0.3172
92.128705,24.47247,17.1485,18.0547,0.9062
92.153772,24.471551,14.29,15.0332,0.7432
92.086816,24.471768,16.2287,17.0127,0.784
92.336667,24.472971,16.9415,17.8147,0.8732
92.016202,24.470575,14.3046,15.0515,0.7469
92.225331,24.472053,16.4416,17.3398,0.8982
92.323181,24.472306,16.6252,17.3372,0.712
92.435513,24.472103,16.2395,17.1082,0.8687
92.371997,24.472225,17.239,18.3237,1.0847
92.22858,24.47047,15.986,16.835,0.849
92.086939,24.469952,17.0963,17.7443,0.648
92.394793,24.469852,13.3096,13.9234,0.6138
92.097377,24.470081,17.4574,18.3696,0.9122
92.39476,24.469854,13.3102,13.9234,0.6132
92.324587,24.470023,15.762,16.4011,0.6391
92.438719,24.470768,17.3939,18.3475,0.9536
92.103213,24.468176,13.2795,13.9696,0.6901
92.054425,24.466871,13.6178,14.0949,0.4771
92.275619,24.469541,16.917,17.8103,0.8933
92.090387,24.467253,11.4284,11.755,0.3266
92.349309,24.46874,14.0197,14.58,0.5603
92.542292,24.468787,14.4445,15.2311,0.7866
92.542287,24.468792,14.4445,15.2311,0.7866
92.532739,24.469767,16.424,17.4692,1.0452
92.31882,24.469144,17.0796,17.9058,0.8262
92.054424,24.466871,13.6178,14.0949,0.4771
92.421658,24.469114,16.6623,17.5101,0.8478
92.459288,24.46858,15.9017,16.6907,0.789
92.294333,24.467733,16.5338,17.5517,1.0179
92.552322,24.468564,17.4934,18.3192,0.8258
92.349317,24.468741,14.0195,14.58,0.5605
92.485371,24.467435,14.193,14.9408,0.7478
92.412524,24.467845,16.9888,17.9712,0.9824
92.421948,24.466715,14.2629,15.3846,1.1217
92.353229,24.465725,11.8789,12.2442,0.3653
92.084686,24.465011,12.4993,13.0855,0.5862
92.245272,24.466765,17.2024,17.905,0.7026
92.220862,24.466407,16.1461,16.8724,0.7263
92.003647,24.46469,14.3555,15.6031,1.2476
92.397688,24.46685,17.1164,17.9234,0.807
92.16981,24.465946,17.1456,17.9975,0.8519
92.050132,24.465217,16.7566,17.7935,1.0369
92.294332,24.467733,16.5337,17.5517,1.018
92.140266,24.464427,14.6059,15.0687,0.4628
92.281795,24.46488,14.4884,15.218,0.7296
92.041599,24.464213,16.1923,16.9917,0.7994
92.361605,24.465215,16.431,17.551,1.12
92.192632,24.46423,15.4201,16.6476,1.2275
92.14916,24.463525,14.174,15.1398,0.9658
92.165115,24.464287,17.2167,17.9992,0.7825
92.416704,24.465078,16.7625,17.7712,1.0087
92.187791,24.463687,15.4943,16.2043,0.71
91.99371,24.462621,15.5916,16.2075,0.6159
92.087342,24.462714,14.2517,15.0322,0.7805
92.050045,24.463033,16.642,17.3276,0.6856
92.38089,24.463776,15.1553,15.9908,0.8355
92.035017,24.46221,15.2896,16.4136,1.124
92.276152,24.463467,16.8796,18.1403,1.2607
92.398001,24.463383,17.1469,18.0542,0.9073
92.431424,24.461859,12.9946,13.6311,0.6365
92.025499,24.461462,16.8741,17.618,0.7439
92.244471,24.461464,13.9333,14.5725,0.6392
92.500794,24.46178,12.8151,13.7844,0.9693
92.301316,24.461064,13.6036,14.313,0.7094
92.109625,24.459888,14.4707,15.2162,0.7455
92.109604,24.459889,14.4707,15.2162,0.7455
92.101389,24.460567,14.1299,14.9671,0.8372
92.340784,24.461996,16.9818,17.8382,0.8564
92.149415,24.460256,13.3688,13.9617,0.5929
92.059328,24.459931,13.9301,14.602,0.6719
92.286615,24.461864,17.4726,18.4292,0.9566
92.023769,24.459941,14.977,15.4008,0.4238
92.167163,24.459526,13.6816,15.1337,1.4521
92.167175,24.459528,13.6815,15.1337,1.4522
92.055508,24.459582,16.4433,17.0217,0.5784
92.321526,24.460527,15.9725,16.6706,0.6981
92.327272,24.460542,16.5988,17.4294,0.8306
92.314137,24.460205,16.4884,17.3151,0.8267
92.14941,24.460256,13.3688,13.9617,0.5929
92.342228,24.459373,15.1023,15.9021,0.7998
92.500798,24.46178,12.8151,13.7844,0.9693
92.041643,24.45828,16.9792,18.0822,1.103
92.459928,24.459958,17.5644,18.3474,0.783
92.448876,24.458872,15.8888,16.7226,0.8338
92.361001,24.458645,16.3228,17.1925,0.8697
92.301085,24.458273,16.3295,17.17,0.8405
92.487509,24.458831,16.925,17.7083,0.7833
92.017662,24.455324,11.659,11.9957,0.3367
92.282622,24.457773,16.8739,17.7902,0.9163
92.117329,24.45705,16.4405,17.258,0.8175
92.002158,24.455389,14.3152,15.0218,0.7066
92.272585,24.456947,15.7823,16.3169,0.5346
92.224423,24.455664,14.2822,15.177,0.8948
92.224408,24.455664,14.2822,15.177,0.8948
92.092619,24.45386,11.147,11.4448,0.2978
92.42918,24.456926,17.3851,18.4093,1.0242
92.128753,24.455715,16.8227,17.6945,0.8718
92.086621,24.455089,14.8067,15.5792,0.7725
92.414142,24.45649,16.7094,17.7261,1.0167
92.368401,24.455749,14.55,15.7108,1.1608
92.136167,24.45508,15.7677,16.6905,0.9228
92.548783,24.45445,10.7891,11.3603,0.5712
92.272546,24.456949,15.7818,16.3168,0.535
92.14621,24.454684,15.6005,16.5287,0.9282
92.07503,24.454476,15.9826,16.5424,0.5598
92.275583,24.455569,17.1315,18.4238,1.2923
92.031522,24.453686,16.3076,17.3519,1.0443
92.031503,24.453692,16.3089,17.3519,1.043
92.235298,24.453823,14.6189,15.413,0.7941
92.235315,24.45382,14.6189,15.413,0.7941
92.166075,24.453194,13.2489,13.8242,0.5753
92.45608,24.454829,15.96,16.5837,0.6237
92.435825,24.454976,17.4709,18.3036,0.8327
92.333436,24.453826,14.242,15.4542,1.2122
92.426525,24.454668,16.3582,16.9822,0.624
92.344624,24.45421,16.1755,17.077,0.9015
92.302544,24.453367,13.9426,14.5913,0.6487
92.384281,24.453969,17.1893,18.0443,0.855
92.049072,24.451957,15.1402,15.9531,0.8129
92.270258,24.452736,16.4232,17.1463,0.7231
92.254775,24.452538,17.7548,18.5047,0.7499
92.045461,24.45077,15.5571,16.0492,0.4921
92.505766,24.451723,12.3491,13.5398,1.1907
92.45693,24.452438,15.2245,16.0225,0.798
92.401209,24.452262,14.957,15.8201,0.8631
92.485645,24.450655,12.5278,13.0349,0.5071
92.390422,24.451869,14.9519,15.779,0.8271
92.235293,24.453825,14.62,15.413,0.793
92.070902,24.450519,15.7309,16.6049,0.874
92.231067,24.450488,14.5281,15.4382,0.9101
92.229087,24.450777,16.3839,17.3352,0.9513
92.175685,24.450617,16.8593,17.7862,0.9269
92.466114,24.450119,14.787,15.6795,0.8925
92.319525,24.450978,16.9129,17.9476,1.0347
92.256898,24.450528,16.7369,17.4893,0.7524
92.296714,24.449454,12.9448,13.4818,0.537
92.242142,24.449893,15.0288,16.4621,1.4333
92.001761,24.448879,15.9267,16.6523,0.7256
92.220361,24.449369,13.9307,14.5275,0.5968
92.145241,24.449659,17.0177,18.2517,1.234
92.147253,24.449369,16.6648,17.6283,0.9635
92.05746,24.448315,17.0623,17.5603,0.498
92.267698,24.448346,13.5309,14.1607,0.6298
92.431265,24.449623,17.2647,18.2966,1.0319
92.453284,24.44926,16.1541,16.936,0.7819
92.354285,24.449001,16.7498,17.8099,1.0601
92.063181,24.44681,15.8231,16.2697,0.4466
92.364391,24.448317,17.766,18.5897,0.8237
92.008321,24.446489,16.5831,17.5911,1.008
92.288217,24.447397,16.8723,17.6661,0.7938
92.245694,24.446012,15.4226,16.191,0.7684
92.005497,24.444657,14.952,15.693,0.741
92.449617,24.44646,14.8959,15.6118,0.7159
92.435825,24.446867,16.4164,17.3926,0.9762
92.204859,24.446155,17.0723,17.9898,0.9175
92.441758,24.446104,16.196,17.2739,1.0779
92.189192,24.445225,16.5009,17.7042,1.2033
92.404343,24.445555,15.6107,16.1959,0.5852
92.276585,24.444882,15.7895,16.7181,0.9286
92.106295,24.444285,17.2382,17.938,0.6998
92.321773,24.444657,15.5862,16.1422,0.556
92.172142,24.442764,14.3593,14.9092,0.5499
92.112782,24.443929,16.6492,17.4381,0.7889
92.547402,24.444883,15.3084,16.2762,0.9678
92.17213,24.442764,14.3593,14.9073,0.548
92.019766,24.442815,17.0969,17.8755,0.7786
92.094328,24.442576,15.9798,17.3478,1.368
92.045512,24.442541,16.6164,17.8476,1.2312
92.300038,24.443439,15.7478,16.3224,0.5746
92.178997,24.44277,15.5701,16.4783,0.9082
92.007126,24.441414,13.4082,14.1241,0.7159
